row_id,source_text,reference_text,few-shot_hariel_llama3_llama3_cfg_3_R1,few-shot_nancy_llama3_llama3_cfg_2_R2,lora_llama3,lora_mistral,zero-shot_hariel_mistral_hariel_mistral_cfg_1_R4,zero-shot_nancy_mistral_nancy_mistral_cfg_2_R4
550,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,Sin motivación y sin incentivos no se puede trabajar bien en un ambiente competitivo.,Sin motivación y sin incentivos no se puede ser exitoso en un ambiente competitivo.,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.","No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.","No tiene incentivos ni motivación. Esto es importante en entornos competitivos.

(Translation: He has no incentives nor motivation. This is important in competitive environments.)

Simplified version:
He doesn't have incentives or motivation. This matters in competitive situations.","No tiene incentivos ni motivation, que son importantes en entornos competitivos.

(Translation: He has no incentives nor motivation, which are essential in competitive environments.)

Simplified version:
He lacks incentives and motivation, key elements in competitive situations."
571,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En la importación y exportación, también participan instituciones gubernamentales y bancos, como se muestra a continuación.","En la importación y exportación, intervienen no solo clientes y proveedores sino también instituciones del Estado y bancos.","En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, como se indica en el siguiente recuadro:","En los procesos de importaciones y exportaciones intervienen clientes y proveedores, instituciones del Estado y los bancos.","En importaciones y exportaciones intervenes además de clientes y proveedores, instituciones gubernamentales y bancos (detallado a continuación):

(Diagrama o tabla siguiente)

Instituciones gubernamentales: Aduanas, Banco Central, Ministerio de Comercio.
Bancos: Banco de Descuento, Banco de la Exportación.","During imports and exports, besides clients and suppliers, there are also government institutions and banks involved. (Simple version: In importing and exporting, it's not just clients and providers; the government and banks are involved as well.)"
885,"El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad ocurre cuando su información personal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad es cuando alguien utiliza tu información personal, como tu nombre y números de cuenta o cédula de identidad, sin tu permiso para hacer trucos malintencionados.",El robo de identidad es cuando alguien usa su información personal sin su consentimiento para hacer trucos o robos.,El robo de identidad ocurre cuando su información personal se usa sin su conocimiento para cometer un fraude o robo.,El robo de identidad ocurre cuando su información personal se usa sin su conocimiento para cometer un fraude o robo.,"Robo de identidad sucede cuando alguien utiliza tu información personal, como nombre, número de cuenta o número de identificación, sin tu consentimiento para cometer un fraude o hurto.","Robo de identidad suele ocurrir cuando alguien utiliza tu información personal, como nombre, números de cuenta o número de cédula, sin tu consentimiento, para cometer fraudes o hurto."
1193,"Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.",Los sueños de los niños son variados y van desde Tarzán hasta el Agente 007 y Superman.,"Los niños soñan con cosas como ser Tarzán, el Agente 007 o Superman.","Los niños soñan con ser como personajes famosos, como Tarzán, Agente 007 o Superman.",Los sueños de los niños tienen una gran variedad.,"Los sueños de los niños tienen una gran variedad. Algunos son Tarzán, el Agente 007 o Superman.","Los sueños de los niños van desde Tarzan hasta James Bond, incluyendo a Superman.","Niños soñan con muchas cosas, desde Tarzán hasta Agent 007, incluyendo a Superman."
1391,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a delitos vinculados a comprar la voluntad de alguien para provecho personal.,"Expresiones como ""soborno"" y ""cohecho"" se refieren a actos ilegales que involucran comprar el apoyo o consentimiento de alguien para beneficio propio.","Comunicación inapropiada entre alguien con autoridad y otro que tiene una relación especial con él, por ejemplo, un empleador y un empleado.",Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho son ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se referen a actos ilegales relacionados con la compra de alguien para obtener beneficios personales.,"Expresiones ""soborno"" y ""cohecho"" se referen a actos ilegales relacionados con la compra de alguien su voluntad para beneficio propio.

(Expressions ""bribe"" and ""extortion"" refer to illegal acts related to buying someone's will for personal gain.)"
1399,"DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""",DIRECCIÓN DE PRESUPUESTO: formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto es responsable de crear y supervisar los presupuestos del país.,La Dirección de Presupuesto (Dipres) es responsable de crear y supervisar el presupuesto nacional.,La Dirección de Presupuesto formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto formula y lleva el control presupuestario de la nación.,DIPRES es quien diseña y administra el presupuesto nacional.,DIPRES es quien diseña y administra el presupuesto nacional.
1636,"Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje aplicado a un préstamo o inversión realizada.,"El interés compuesto es la suma del capital y el interés acumulado, que crece según el tiempo convenido. La tasa de interés es el porcentaje aplicado a un préstamo o inversión.","El interés compuesto es la suma del capital y el interés acumulado, que crece según el tiempo establecido. La tasa de interés es el porcentaje que se aplica al dinero prestado o invertido.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.,El interés compuesto es la suma del capital y el interés acumulado. Se multiplica según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.,"Interés compuesto: Es la suma de capital y intereses acumulados, que aumentan según los plazos acordados. La tasa de interés es el porcentaje aplicado a un préstamo o inversión.

Translation: Compound interest: It's the sum of principal and accumulated interest that grows according to agreed terms. The rate of interest is the percentage applied to a loan or investment.","Interés compuesto: Es la suma de capital y intereses acumulados, que aumentan según los plazos acordados. La tasa de interés es el porcentaje aplicado a un préstamo o inversión.

Translation: Compound interest: It is the sum of principal and accumulated interest that grows according to agreed-upon terms. The rate of interest is the percentage applied to a loan or investment."
1740,La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.,A través de los factores de producción se realiza la producción en un país. Más adelante nos ocuparemos en detalle de estos factores.,"La producción en un país se hace utilizando factores como capital, trabajo y recursos naturales.","La producción en un país se hace utilizando factores de producción, sobre los que hablaremos más tarde.",La producción en un país se realiza mediante los factores de producción. Estos se ocuparán en detalle más adelante.,La producción en un país se realiza mediante los factores de producción.,"Producción en un país se hace usando factores, que mencionaremos después en más detalle.","Produccion de un pais se hace usando factores de produccion, sobre estos hablaremos mas tarde en detalle.

(Production in a country is done using production factors, which we will discuss in detail later.)"
1742,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Aunque algunas personas critican al intermediario, este individuo es necesario en la economía.","Aunque algunos lo critiquen, el intermediario es necesario en la economía.","Aunque algunos critican al intermediario, es importante su papel en la economía.","Algunos critican al intermediario, pero se necesita a este individuo en la economía.","A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Algunas personas criticaban al intermediario, pero era necesario para la economía.

(Translation: Some people criticized the intermediary, but he was necessary for the economy.)

Simplified version:
The intermediary was criticized by some, but needed in the economy.","Algunas personas criticaban al intermediario, pero era necesario para la economía.

Simplified version: Some people criticized the intermediary, but he was necessary for the economy."
1790,El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a las utilidades también es un buen método para conocer el monto de las rentas y de la riqueza nacional.,El impuesto sobre los intereses es una forma efectiva de medir el valor de las rentas y la riqueza del país.,El impuesto a los réditos es una forma útil para saber cuánto dinero se gana y qué tan rica es la nación.,El impuesto a los réditos es un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a los réditos es un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,"El impuesto sobre el ingreso es útil para saber cuánto gana la nación.

[",El impuesto sobre el ingreso es útil para saber cuánto gana la nación.
