experiment_id,run_id,timestamp,dataset_name,fold_id,split_name,model_key,model_id,backend,prompt_type,ruleset,few_shot_example_ids,generation_config,sample_id,source_text,reference_text,generated_text,prompt_text,inference_seconds,status,error_message,metrics,generated_len_chars,generated_len_words
exp_small_batch_v1_20260308_063402,58b5cf8c-678d-4a7d-a315-4615b3e8b30e,2026-03-08T06:34:02.248048,FEINA,,,mistral,mistralai/Mistral-7B-Instruct-v0.2,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_001,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.",,"Despues de clarificar estos temas, entramos en detalle de algunos aspectos y herramientas especificas de finanzas, siempre teniendo en cuenta lo personal y familiar.

(Translation: After clarifying these matters, we delve into the details of some specific aspects and tools of finance, always keeping in mind the personal and familiar.)","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.

Versión simplificada:",10.4296,success,,{},336,50
exp_small_batch_v1_20260308_063402,41184bc1-e58d-4948-9746-808d95d184fd,2026-03-08T06:34:13.022415,FEINA,,,mistral,mistralai/Mistral-7B-Instruct-v0.2,ollama,zero-shot,R2,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_001,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.",,"Despues de clarificar estos temas, entramos en detalle de algunos aspectos y herramientas especificas de las finanzas, siempre desde una perspectiva personal y familiar.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.

Versión simplificada:",6.3032,success,,{},169,24
exp_small_batch_v1_20260308_063402,cdadac95-09d4-4b68-bcce-37d55108f897,2026-03-08T06:34:19.375337,FEINA,,,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_001,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.",,"Una vez resueltos estos problemas, se puede empezar a hablar sobre temas financieros personales y familiares.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.

Versión simplificada:",8.8989,success,,{},109,16
exp_small_batch_v1_20260308_063402,6eea1ff6-e2e4-4274-8946-41553af0b65e,2026-03-08T06:34:28.330446,FEINA,,,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R2,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_001,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.",,"Una vez resueltos estos problemas, podemos hablar sobre dinero y finanzas personales y familiares.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.

Versión simplificada:",8.6933,success,,{},98,14
exp_small_batch_v1_20260308_063402,6920c480-2fdc-4e1e-9406-bbd58552a4d6,2026-03-08T06:34:37.072826,FEINA,,,mistral,mistralai/Mistral-7B-Instruct-v0.2,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_002,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,,La planificación financiera permite a las familias mejorar el uso de sus recursos y minimizar los riesgos de la deuda.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.

Versión simplificada:",5.3467,success,,{},118,20
exp_small_batch_v1_20260308_063402,2123a01c-3038-4889-94fd-73a1ba633eca,2026-03-08T06:34:42.471374,FEINA,,,mistral,mistralai/Mistral-7B-Instruct-v0.2,ollama,zero-shot,R2,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_002,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,,Familiares pueden mejorar la gestión de sus recursos y minimizar los riesgos de la deuda gracias a las estrategias financieras de planificación.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.

Versión simplificada:",5.7737,success,,{},144,22
exp_small_batch_v1_20260308_063402,0e821748-6e56-4cf4-ae01-d540f7ed3eed,2026-03-08T06:34:48.294819,FEINA,,,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_002,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,,La planificación financiera ayuda a las familias a gestionar mejor sus dinero y reducir el riesgo de endeudamiento.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.

Versión simplificada:",9.3391,success,,{},115,18
exp_small_batch_v1_20260308_063402,6b7e60f5-66df-4282-9445-01dc150a7e83,2026-03-08T06:34:57.690380,FEINA,,,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R2,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_002,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,,La planificación financiera ayuda a las familias a gestionar mejor su dinero y a reducir el riesgo de endeudamiento.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.

Versión simplificada:",7.5577,success,,{},116,19
exp_small_batch_v1_20260308_063402,c392c789-67e4-4f14-b50c-4f9ac7c9258b,2026-03-08T06:35:05.301507,FEINA,,,mistral,mistralai/Mistral-7B-Instruct-v0.2,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_003,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.",,"Para analizar herramentas de ahorro, es necesario tener en cuenta factores como liquidez, rendimiento, plazo de tiempo y paciencia para el riesgo.

Simplified version: To analyze saving tools, it's important to consider factors like liquidity, return, time horizon and risk tolerance.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.

Versión simplificada:",7.0177,success,,{},284,41
exp_small_batch_v1_20260308_063402,0b406d18-05c4-40da-add7-d553c802b201,2026-03-08T06:35:12.369274,FEINA,,,mistral,mistralai/Mistral-7B-Instruct-v0.2,ollama,zero-shot,R2,[],"{'temperature': 0.2, 'top_p': 0.9, 'max_new_tokens': 256, 'repetition_penalty': 1.05, 'do_sample': False}",sb_003,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.",,"Análisis de ahorros: tener en cuenta líquidez, rendimiento, plazo y paciencia para riesgos.

(Analysis of savings: take into account liquidity, yield, term and risk tolerance.)","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.

Versión simplificada:",5.8697,success,,{},176,25
