experiment_id,run_id,timestamp,dataset_name,fold_id,split_name,model_key,model_id,backend,prompt_type,ruleset,few_shot_example_ids,generation_config,sample_id,source_text,reference_text,generated_text,prompt_text,inference_seconds,status,error_message,metrics,idFinal,grupo,motivo,lex
exp_refinement_m20_20260321_171527,ac09fbe2-f126-47cc-8d1f-c4e58ee7ac4c,2026-03-21T17:22:27.934160,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",2088,La comunidad humana más antigua ha sido denominada horda primitiva.,La comunidad humana más antigua se llamó tribu.,La comunidad humana más antigua se llama horda primitiva.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
La comunidad humana más antigua ha sido denominada horda primitiva.

Versión simplificada:",9.4107,success,,{},1872_LibroBAC.pdf,A_cortos,"Muy corto, sustitución léxica clara.",1
exp_refinement_m20_20260321_171527,b0cd4bff-0834-4169-85f8-33278c9b71c4,2026-03-21T17:22:37.517136,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",2976,"Prueba a poner en un sobre o frasco $1 por día, más las monedas del cambio.",Pon en un sobre un dólar diario más las monedas del vuelto.,Pon $1 al día y también mete el cambio en un sobre o frasco.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Prueba a poner en un sobre o frasco $1 por día, más las monedas del cambio.

Versión simplificada:",7.4372,success,,{},881_LibroNEFE_Sincopyright.pdf,A_cortos,Corto con dinero/cantidad.,1
exp_refinement_m20_20260321_171527,6fa8b84e-4ddf-474d-a9b5-0fb0b0f90bff,2026-03-21T17:22:45.087748,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",3430,Uno de los problemas más importantes en los negocios es la asignación de precios a los productos.,Asignar precios a los productos es un problema importante en las empresas.,Un problema importante en los negocios es determinar el precio justo para cada producto.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Uno de los problemas más importantes en los negocios es la asignación de precios a los productos.

Versión simplificada:",7.0582,success,,{},2692_LibroUide_Sincopyright.pdf,A_cortos,Frase conceptual simple de negocios.,1
exp_refinement_m20_20260321_171527,3d015c8e-a04c-489b-8be8-e0b16ec705b1,2026-03-21T17:22:52.291493,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",3679,"El resultado será 190, o sea, el IVA del kilo de pan es de $190.","El resultado será ciento noventa. Es decir, el impuesto al valor agregado del kilo de pan son ciento noventa pesos.",El precio del kilo de pan incluye un impuesto de $190.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
El resultado será 190, o sea, el IVA del kilo de pan es de $190.

Versión simplificada:",7.0028,success,,{},829_LibroUAC_Sincopyright.pdf,A_cortos,Corto con número e IVA.,1
exp_refinement_m20_20260321_171527,9b12bb7b-e250-497d-ac84-e32b4d865ea1,2026-03-21T17:22:59.435085,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",3145,"Por cada $100 facturados, la compañía gasta $2.20 en intereses.",La empresa gasta dos dólares con veinte centavos por cada cien dólares facturados.,La empresa paga $2.20 por cada $100 que vende.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Por cada $100 facturados, la compañía gasta $2.20 en intereses.

Versión simplificada:",6.9529,success,,{},1045_LibroUide_Sincopyright.pdf,A_cortos,Corto con proporción financiera.,1
exp_refinement_m20_20260321_171527,4b1e8252-3a40-48df-b41e-288949379498,2026-03-21T17:23:06.521081,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",507,"En general, se dice que la rentabilidad normal de una inversión en países desarrollados fluctúa, en promedio, entre el 6 % y el 8 % anual.","Generalmente, la rentabilidad normal de una inversión en países desarrollados varía entre el seis por ciento y el ocho por ciento anual.",La rentabilidad normal de una inversión en países desarrollados es del 6% al 8% anual.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
En general, se dice que la rentabilidad normal de una inversión en países desarrollados fluctúa, en promedio, entre el 6 % y el 8 % anual.

Versión simplificada:",7.4859,success,,{},562_LibroUAC_Sincopyright.pdf,B_medianos,Porcentajes y rentabilidad.,1
exp_refinement_m20_20260321_171527,879a974d-6e28-4ace-b40c-d298b6de77f9,2026-03-21T17:23:14.142841,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",1756,En virtud de estas y otras reflexiones fue que se diseñó este capítulo en el marco del Libro Maestro de la cual forma parte sustantiva.,Debido a estas y otras reflexiones se diseñó este capítulo que forma parte fundamental del presente libro maestro de educación financiera.,Este capítulo fue creado como resultado de estas ideas y otras similares.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
En virtud de estas y otras reflexiones fue que se diseñó este capítulo en el marco del Libro Maestro de la cual forma parte sustantiva.

Versión simplificada:",6.902,success,,{},5100_LibroBAC.pdf,B_medianos,Redacción abstracta/institucional.,1
exp_refinement_m20_20260321_171527,e4770c32-a041-41e1-9ed5-84496c45c795,2026-03-21T17:23:21.191290,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",3093,"Las cuentas de activo reflejan aquello que posee la organización, independientemente de cómo se haya financiado.",Las cuentas de activo evidencian las pertenencias de la empresa. No importa cómo se financiaron.,"La cuenta de activo muestra lo que una empresa tiene, sin importar cómo lo pagó.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Las cuentas de activo reflejan aquello que posee la organización, independientemente de cómo se haya financiado.

Versión simplificada:",7.2042,success,,{},875_LibroUide_Sincopyright.pdf,B_medianos,Definición contable.,1
exp_refinement_m20_20260321_171527,d8ffee5c-bc4c-4b7c-9a1b-75afe502ca40,2026-03-21T17:23:28.531351,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",3192,"Por cada dólar de pasivo corriente, la compañía cuenta con 93 centavos de dólar en activos corrientes súper líquidos.",La empresa tiene noventa y tres centavos de dólar en activos corrientes súper líquidos por dólar de pasivo corriente.,"Para cada dólar de deudas que debe pagar pronto, la empresa tiene 93 centavos disponibles para usar inmediatamente.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Por cada dólar de pasivo corriente, la compañía cuenta con 93 centavos de dólar en activos corrientes súper líquidos.

Versión simplificada:",11.0795,success,,{},1202_LibroUide_Sincopyright.pdf,B_medianos,"Relación de pasivo/activo, útil para precisión.",1
exp_refinement_m20_20260321_171527,c9d7ee50-56ee-4cb7-8d0f-73bca8c10bfb,2026-03-21T17:23:39.761021,muestra_20_refinamiento,,refinement,llama3,meta-llama/Meta-Llama-3-8B-Instruct,ollama,zero-shot,R0,[],"{'temperature': 0.2, 'top_p': 0.85, 'repetition_penalty': 1.1, 'max_new_tokens': 256}",3525,"Posee la renta per cápita más alta de Latinoamérica, con alrededor de US$25.000 por habitante (según datos de 2019).",Tiene la renta per cápita más alta de Latinoamérica. Con casi veinticinco mil dólares estadounidenses por habitante.,"La renta per cápita en este país es la más alta de Latinoamérica, con unos $25.000 por persona (datos de 2019).","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Posee la renta per cápita más alta de Latinoamérica, con alrededor de US$25.000 por habitante (según datos de 2019).

Versión simplificada:",8.3286,success,,{},230_LibroUAC_Sincopyright.pdf,B_medianos,Dato económico con cifra.,1
