Texto,Semántica  (5|3|1)_interna,Semántica  (5|3|1)_externa,Semántica  (5|3|1),Semántica  (5|3|1)_diferencia_original,Semántica  (5|3|1)_aplico_regla_cero,Claridad  (5|3|1)_interna,Claridad  (5|3|1)_externa,Claridad  (5|3|1),Claridad  (5|3|1)_diferencia_original,Claridad  (5|3|1)_aplico_regla_cero,Fluidez y corrección  (5|3|1)_interna,Fluidez y corrección  (5|3|1)_externa,Fluidez y corrección  (5|3|1),Fluidez y corrección  (5|3|1)_diferencia_original,Fluidez y corrección  (5|3|1)_aplico_regla_cero,Léxico y sintaxis (5|3|1)_interna,Léxico y sintaxis (5|3|1)_externa,Léxico y sintaxis (5|3|1),Léxico y sintaxis (5|3|1)_diferencia_original,Léxico y sintaxis (5|3|1)_aplico_regla_cero,Adecuación al público / tono (5|3|1)_interna,Adecuación al público / tono (5|3|1)_externa,Adecuación al público / tono (5|3|1),Adecuación al público / tono (5|3|1)_diferencia_original,Adecuación al público / tono (5|3|1)_aplico_regla_cero,Estructura y presentación (5|3|1)_interna,Estructura y presentación (5|3|1)_externa,Estructura y presentación (5|3|1),Estructura y presentación (5|3|1)_diferencia_original,Estructura y presentación (5|3|1)_aplico_regla_cero,Manejo de números y datos (5|3|1)_interna,Manejo de números y datos (5|3|1)_externa,Manejo de números y datos (5|3|1),Manejo de números y datos (5|3|1)_diferencia_original,Manejo de números y datos (5|3|1)_aplico_regla_cero,Puntaje Final,Aplico regla cero
1,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
2,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
3,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
4,3.0,5.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,1.0,3.0,4.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.3,False
5,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
6,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
7,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
8,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,4.65,False
9,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
10,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
11,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
12,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
13,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
14,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.85,False
15,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
16,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.6,False
17,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
18,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,4.45,False
