Texto,criterio,evaluacion_interna,evaluacion_externa,diferencia,valor_final_conciliado,aplico_regla_cero
72,Adecuación al público / tono (5|3|1),5.0,0.0,5.0,0.0,True
72,Claridad  (5|3|1),5.0,0.0,5.0,0.0,True
72,Estructura y presentación (5|3|1),5.0,0.0,5.0,0.0,True
72,Fluidez y corrección  (5|3|1),5.0,0.0,5.0,0.0,True
72,Léxico y sintaxis (5|3|1),5.0,0.0,5.0,0.0,True
72,Manejo de números y datos (5|3|1),5.0,0.0,5.0,0.0,True
72,Semántica  (5|3|1),5.0,0.0,5.0,0.0,True
73,Adecuación al público / tono (5|3|1),0.0,5.0,5.0,0.0,True
73,Claridad  (5|3|1),0.0,5.0,5.0,0.0,True
73,Estructura y presentación (5|3|1),0.0,5.0,5.0,0.0,True
73,Fluidez y corrección  (5|3|1),0.0,5.0,5.0,0.0,True
73,Manejo de números y datos (5|3|1),0.0,5.0,5.0,0.0,True
73,Semántica  (5|3|1),0.0,5.0,5.0,0.0,True
79,Adecuación al público / tono (5|3|1),5.0,0.0,5.0,0.0,True
79,Estructura y presentación (5|3|1),5.0,0.0,5.0,0.0,True
79,Léxico y sintaxis (5|3|1),5.0,0.0,5.0,0.0,True
79,Manejo de números y datos (5|3|1),5.0,0.0,5.0,0.0,True
84,Adecuación al público / tono (5|3|1),5.0,0.0,5.0,0.0,True
84,Claridad  (5|3|1),5.0,0.0,5.0,0.0,True
84,Estructura y presentación (5|3|1),5.0,0.0,5.0,0.0,True
84,Fluidez y corrección  (5|3|1),5.0,0.0,5.0,0.0,True
84,Léxico y sintaxis (5|3|1),5.0,0.0,5.0,0.0,True
84,Manejo de números y datos (5|3|1),5.0,0.0,5.0,0.0,True
84,Semántica  (5|3|1),5.0,0.0,5.0,0.0,True
89,Adecuación al público / tono (5|3|1),5.0,0.0,5.0,0.0,True
89,Claridad  (5|3|1),5.0,0.0,5.0,0.0,True
89,Estructura y presentación (5|3|1),5.0,0.0,5.0,0.0,True
89,Fluidez y corrección  (5|3|1),5.0,0.0,5.0,0.0,True
89,Léxico y sintaxis (5|3|1),5.0,0.0,5.0,0.0,True
