sample_id,model_key,ruleset,source_text,generated_text,inference_seconds,semantic_fidelity,simplicity,fluency,artifact_free,review_notes
sb_001,mistral,R0,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.","Despues de clarificar estos temas, entramos en detalle de algunos aspectos y herramientas especificas de finanzas, siempre teniendo en cuenta lo personal y familiar.

(Translation: After clarifying these matters, we delve into the details of some specific aspects and tools of finance, always keeping in mind the personal and familiar.)",10.4296,4,2,3,2,
sb_001,mistral,R2,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.","Despues de clarificar estos temas, entramos en detalle de algunos aspectos y herramientas especificas de las finanzas, siempre desde una perspectiva personal y familiar.",6.3032,4,2,4,4,
sb_001,llama3,R0,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.","Una vez resueltos estos problemas, se puede empezar a hablar sobre temas financieros personales y familiares.",8.8989,4,4,4,5,
sb_001,llama3,R2,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar.","Una vez resueltos estos problemas, podemos hablar sobre dinero y finanzas personales y familiares.",8.6933,4,5,4,5,
sb_002,mistral,R0,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,La planificación financiera permite a las familias mejorar el uso de sus recursos y minimizar los riesgos de la deuda.,5.3467,4,3,4,5,
sb_002,mistral,R2,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,Familiares pueden mejorar la gestión de sus recursos y minimizar los riesgos de la deuda gracias a las estrategias financieras de planificación.,5.7737,3,2,2,2,
sb_002,llama3,R0,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,La planificación financiera ayuda a las familias a gestionar mejor sus dinero y reducir el riesgo de endeudamiento.,9.3391,4,4,3,3,
sb_002,llama3,R2,La implementación de estrategias de planificación financiera permite a las familias optimizar la administración de sus recursos y reducir riesgos asociados al endeudamiento.,La planificación financiera ayuda a las familias a gestionar mejor su dinero y a reducir el riesgo de endeudamiento.,7.5577,5,5,5,5,
sb_003,mistral,R0,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.","Para analizar herramentas de ahorro, es necesario tener en cuenta factores como liquidez, rendimiento, plazo de tiempo y paciencia para el riesgo.

Simplified version: To analyze saving tools, it's important to consider factors like liquidity, return, time horizon and risk tolerance.",7.0177,3,2,2,1,
sb_003,mistral,R2,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.","Análisis de ahorros: tener en cuenta líquidez, rendimiento, plazo y paciencia para riesgos.

(Analysis of savings: take into account liquidity, yield, term and risk tolerance.)",5.8697,2,2,2,2,
sb_003,llama3,R0,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.","Considere las siguientes cosas al elegir un instrumento de ahorro: si puede obtener el dinero rápidamente, cuánto dinero puede ganar, cuánto tiempo tiene para invertir y cómo le afecta el riesgo.",8.2649,5,5,5,5,
sb_003,llama3,R2,"El análisis de los instrumentos de ahorro exige considerar variables como liquidez, rendimiento, horizonte temporal y tolerancia al riesgo.","Cuando analizamos las opciones para ahorrar dinero, debemos considerar factores como la facilidad para acceder a nuestros ahorros, el interés que ganan, el plazo en que podemos dejar el dinero invertido y nuestro nivel de riesgo.",8.7889,4,4,4,5,
sb_004,mistral,R0,La correcta interpretación de las condiciones contractuales evita malentendidos y permite tomar decisiones informadas respecto a productos financieros.,"Interpretar correctamente las condiciones contractuales evita equivocaciones y permite tomar decisiones informadas sobre productos financieros.

(Interpreting contractual conditions correctly avoids misunderstandings and allows for informed decisions regarding financial products.)",6.2314,4,2,4,5,
sb_004,mistral,R2,La correcta interpretación de las condiciones contractuales evita malentendidos y permite tomar decisiones informadas respecto a productos financieros.,"Entendiendo bien las clausulas contractuales evita equivociones y permite tomar buenas decisiones sobre productos financieros.

(Understanding contractual clauses correctly avoids misunderstandings and allows for informed decisions regarding financial products.)",6.2265,3,3,2,3,
sb_004,llama3,R0,La correcta interpretación de las condiciones contractuales evita malentendidos y permite tomar decisiones informadas respecto a productos financieros.,Entender bien los términos del contrato ayuda a evitar confusiones y tomar decisiones sabias sobre inversiones financieras.,8.1159,4,4,4,5,
sb_004,llama3,R2,La correcta interpretación de las condiciones contractuales evita malentendidos y permite tomar decisiones informadas respecto a productos financieros.,Entender bien los términos del contrato ayuda a evitar confusiones y tomar decisiones sabias sobre inversiones financieras.,6.9301,4,4,4,5,
sb_005,mistral,R0,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben considerar no solo la tasa de interés, sino también gastos extra como comisiones y penas.

(Users must consider not only the interest rate but also additional costs such as commissions and penalties.)",6.0455,4,3,4,5,
sb_005,mistral,R2,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben identificar no solo la tasa de interés, sino también gastos extras como comisiones, penas y costos asociados al servicio.",5.7404,4,3,4,5,
sb_005,llama3,R0,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben considerar no solo el interés, sino también las comisiones y otros gastos que se pagan por usar el servicio.",7.1831,4,4,4,5,
sb_005,llama3,R2,"Los usuarios deben identificar no solo la tasa de interés nominal, sino también las comisiones, penalizaciones y costos adicionales asociados al servicio.","Los usuarios deben considerar no solo el interés, sino también los demás gastos que se pagan por usar el servicio.",6.4271,4,5,4,5,
sb_006,mistral,R0,"El presupuesto familiar constituye una herramienta fundamental para anticipar gastos, distribuir ingresos y prevenir situaciones de sobreendeudamiento.","El presupuesto familiar es una herramienta importante para previsionar gastos, distribuir ingresos y evitar deudas excesivas.",5.4349,4,3,4,5,
