experiment_id,run_ts,dataset_name,sample_id,model_name,ruleset_name,prompt_type,source_text,reference_text,generated_text,prompt_text,status,error_message,inference_seconds,input_chars,output_chars,input_words,output_words,flag_artifacts,flag_prompt_leak,flag_truncation,flag_generic,empty_output,compression_ratio,n_flags
exp_medium_batch_v1,20260308_155905,FEINA,5350_LibroBAC.pdf,llama3,R0,zero-shot,Yo sé que esto es algo que probablemente preferirían no hacer.,Yo sé que probablemente preferirían no hacer esto.,Yo entiendo que no quieren hacer esto.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Yo sé que esto es algo que probablemente preferirían no hacer.

Versión simplificada:",success,,13.441,62,38,11,7,False,False,False,False,False,0.6363636363636364,0
exp_medium_batch_v1,20260308_155905,FEINA,5350_LibroBAC.pdf,llama3,R2,zero-shot,Yo sé que esto es algo que probablemente preferirían no hacer.,Yo sé que probablemente preferirían no hacer esto.,No quiero que hagan esto.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
Yo sé que esto es algo que probablemente preferirían no hacer.

Versión simplificada:",success,,7.4728,62,25,11,5,False,False,False,False,False,0.45454545454545453,0
exp_medium_batch_v1,20260308_155905,FEINA,5350_LibroBAC.pdf,mistral,R0,zero-shot,Yo sé que esto es algo que probablemente preferirían no hacer.,Yo sé que probablemente preferirían no hacer esto.,Esto quizás no les guste mucho hacer esto. (This is probably something they wouldn't like to do.),"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Yo sé que esto es algo que probablemente preferirían no hacer.

Versión simplificada:",success,,4.8468,62,97,11,17,False,False,False,False,False,1.5454545454545454,0
exp_medium_batch_v1,20260308_155905,FEINA,5350_LibroBAC.pdf,mistral,R2,zero-shot,Yo sé que esto es algo que probablemente preferirían no hacer.,Yo sé que probablemente preferirían no hacer esto.,Esto quizás no les guste mucho hacer esto. (This probably isn't something they would like to do.),"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
Yo sé que esto es algo que probablemente preferirían no hacer.

Versión simplificada:",success,,2.7466,62,97,11,17,False,False,False,False,False,1.5454545454545454,0
exp_medium_batch_v1,20260308_155905,FEINA,418_LibroUAC_Sincopyright.pdf,llama3,R0,zero-shot,"Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.",Lo calcula el Instituto Nacional de Estadísticas sobra la base de las mediciones mensuales a los precios de la canasta familiar.,"El Instituto Nacional de Estadísticas calcula los precios de una canasta familiar que incluye 12 categorías de productos, como la salud, la vivienda, el vestuario y los alimentos, para determinar el costo de vida.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.

Versión simplificada:",success,,10.2968,219,213,33,34,False,False,False,False,False,1.0303030303030303,0
exp_medium_batch_v1,20260308_155905,FEINA,418_LibroUAC_Sincopyright.pdf,llama3,R2,zero-shot,"Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.",Lo calcula el Instituto Nacional de Estadísticas sobra la base de las mediciones mensuales a los precios de la canasta familiar.,"El Instituto Nacional de Estadísticas calcula los precios de los productos básicos para una familia promedio, como la salud, la vivienda, la ropa y la comida.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.

Versión simplificada:",success,,4.7092,219,158,33,26,False,False,False,False,False,0.7878787878787878,0
exp_medium_batch_v1,20260308_155905,FEINA,418_LibroUAC_Sincopyright.pdf,mistral,R0,zero-shot,"Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.",Lo calcula el Instituto Nacional de Estadísticas sobra la base de las mediciones mensuales a los precios de la canasta familiar.,"El Instituto Nacional de Estadísticas calcula basándose en mediciones mensuales de precios, una cesta familiar que consta de doce categorías de productos, como salud, vivienda, ropa y alimentos.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.

Versión simplificada:",success,,6.3346,219,194,33,28,False,False,False,False,False,0.8484848484848485,0
exp_medium_batch_v1,20260308_155905,FEINA,418_LibroUAC_Sincopyright.pdf,mistral,R2,zero-shot,"Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.",Lo calcula el Instituto Nacional de Estadísticas sobra la base de las mediciones mensuales a los precios de la canasta familiar.,"El Instituto Nacional de Estadísticas calcula basándose en mediciones mensuales de precios de una cesta familiar compuesta por doce categorías de productos, como salud, vivienda, ropa y alimentos.","Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
Lo calcula el Instituto Nacional de Estadísticas sobre la base de mediciones mensuales a los precios de una canasta familiar que incluye doce categorías de productos, entre ellas, salud, vivienda, vestuario y alimentos.

Versión simplificada:",success,,3.8185,219,196,33,28,False,False,False,False,False,0.8484848484848485,0
exp_medium_batch_v1,20260308_155905,FEINA,16403_LibroBAC.pdf,llama3,R0,zero-shot,Fijar el precio de los activos en el momento de su emisión (mercado primario) o en un momento posterior (mercado secundario).,Fijar el precio de los recursos en su emisión o posteriormente.,Establecer el precio de los activos al venderlos por primera vez (mercado primario) o más tarde (mercado secundario).,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.

Devuelve solo la versión final simplificada.

Texto:
Fijar el precio de los activos en el momento de su emisión (mercado primario) o en un momento posterior (mercado secundario).

Versión simplificada:",success,,6.9503,125,117,21,18,False,False,False,False,False,0.8571428571428571,0
exp_medium_batch_v1,20260308_155905,FEINA,16403_LibroBAC.pdf,llama3,R2,zero-shot,Fijar el precio de los activos en el momento de su emisión (mercado primario) o en un momento posterior (mercado secundario).,Fijar el precio de los recursos en su emisión o posteriormente.,Establecer el precio de los activos cuando se crean o más tarde.,"Reescribe en español el siguiente texto con lenguaje más claro y sencillo.
Conserva el significado original y no inventes información.
Guía interna de simplificación: usa palabras comunes; evita tecnicismos innecesarios; reemplaza palabras difíciles por palabras simples; usa oraciones cortas; expresa una idea por oración; prefiere voz activa; divide oraciones largas.

Devuelve solo la versión final simplificada.

Texto:
Fijar el precio de los activos en el momento de su emisión (mercado primario) o en un momento posterior (mercado secundario).

Versión simplificada:",success,,4.9003,125,64,21,12,False,False,False,False,False,0.5714285714285714,0
