Texto,criterio,evaluacion_interna,evaluacion_externa,valor_final_conciliado
72,Semántica  (5|3|1),5.0,0.0,0.0
72,Claridad  (5|3|1),5.0,0.0,0.0
72,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
72,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
72,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
72,Estructura y presentación (5|3|1),5.0,0.0,0.0
72,Manejo de números y datos (5|3|1),5.0,0.0,0.0
73,Semántica  (5|3|1),0.0,5.0,0.0
73,Claridad  (5|3|1),0.0,5.0,0.0
73,Fluidez y corrección  (5|3|1),0.0,5.0,0.0
73,Léxico y sintaxis (5|3|1),0.0,3.0,0.0
73,Adecuación al público / tono (5|3|1),0.0,5.0,0.0
73,Estructura y presentación (5|3|1),0.0,5.0,0.0
73,Manejo de números y datos (5|3|1),0.0,5.0,0.0
79,Semántica  (5|3|1),3.0,0.0,0.0
79,Claridad  (5|3|1),3.0,0.0,0.0
79,Fluidez y corrección  (5|3|1),3.0,0.0,0.0
79,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
79,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
79,Estructura y presentación (5|3|1),5.0,0.0,0.0
79,Manejo de números y datos (5|3|1),5.0,0.0,0.0
81,Semántica  (5|3|1),0.0,0.0,0.0
81,Claridad  (5|3|1),0.0,0.0,0.0
81,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
81,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
81,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
81,Estructura y presentación (5|3|1),0.0,0.0,0.0
81,Manejo de números y datos (5|3|1),0.0,0.0,0.0
83,Semántica  (5|3|1),0.0,0.0,0.0
83,Claridad  (5|3|1),0.0,0.0,0.0
83,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
83,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
83,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
83,Estructura y presentación (5|3|1),0.0,0.0,0.0
83,Manejo de números y datos (5|3|1),0.0,0.0,0.0
84,Semántica  (5|3|1),5.0,0.0,0.0
84,Claridad  (5|3|1),5.0,0.0,0.0
84,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
84,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
84,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
84,Estructura y presentación (5|3|1),5.0,0.0,0.0
84,Manejo de números y datos (5|3|1),5.0,0.0,0.0
87,Semántica  (5|3|1),0.0,0.0,0.0
87,Claridad  (5|3|1),0.0,0.0,0.0
87,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
87,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
87,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
87,Estructura y presentación (5|3|1),0.0,0.0,0.0
87,Manejo de números y datos (5|3|1),0.0,0.0,0.0
88,Semántica  (5|3|1),0.0,0.0,0.0
88,Claridad  (5|3|1),0.0,0.0,0.0
88,Fluidez y corrección  (5|3|1),0.0,0.0,0.0
88,Léxico y sintaxis (5|3|1),0.0,0.0,0.0
88,Adecuación al público / tono (5|3|1),0.0,0.0,0.0
88,Estructura y presentación (5|3|1),0.0,0.0,0.0
88,Manejo de números y datos (5|3|1),0.0,0.0,0.0
89,Semántica  (5|3|1),5.0,0.0,0.0
89,Claridad  (5|3|1),5.0,0.0,0.0
89,Fluidez y corrección  (5|3|1),5.0,0.0,0.0
89,Léxico y sintaxis (5|3|1),5.0,0.0,0.0
89,Adecuación al público / tono (5|3|1),5.0,0.0,0.0
