row_id,idFinal,source_text,reference_text,idcod,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,lex,rules_list,n_rules,main_rule,main_rule_name,families_list,n_families,main_family,src_words,src_sentences,has_number,has_money,has_percent,n_rules_bucket,length_bucket,lex_bucket,stratum,split_stratum
5,74_LibroBAC.pdf,"Luego de haber obtenido la anterior información y haber hecho acopio de las fuentes bibliográficas y virtuales respectivas, el equipo procedió a realizar la redacción o construcción del libro.",El equipo realizó la redacción del libro luego de obtener la información anterior y reunir las fuentes bibliográficas y virtuales respectivas.,Fiorella,19.0,5.0,6.0,1.0,,,,,,1,"[19, 5, 6, 1]",4,19.0,Sentence Order,"['structural', 'reduction', 'lexical']",3,structural,29,1,0,0,0,r4plus,long,1,fam=structural | rules=r4plus | len=long | num=0 | lex=1,fam=structural | rules=r4plus | len=long
7,76_LibroBAC.pdf,"Realizada la validación y los ajustes del libro que ella generó, se realizó el diseño editorial y se procedió a la impresión del mismo.",Se realizó el diseño editorial y se imprimió el libro después de validarlo y hacer ajustes.,Fiorella,19.0,6.0,,,,,,,,0,"[19, 6]",2,19.0,Sentence Order,"['structural', 'lexical']",2,structural,24,1,0,0,0,r2,medium,0,fam=structural | rules=r2 | len=medium | num=0 | lex=0,fam=structural | rules=r2 | len=medium
10,80_LibroBAC.pdf,"No obstante, siendo el dinero un factor de primera importancia en la vida financiera de las personas, de la familia y de la sociedad, el mismo ha sido marcado por algunos mitos, derivados o generados del mal uso que muchas personas le han dado al mismo.","No obstante, el dinero ha sido marcado por algunos mitos. Estas invenciones se generan del mal uso que muchas personas le han dado. Sin embargo, el dinero es sumamente importante en la vida financiera de las personas, de la familia y de la sociedad.",Fiorella,12.0,15.0,5.0,19.0,,,,,,0,"[12, 15, 5, 19]",4,12.0,Use of Gerund,"['morphosyntactic', 'structural', 'reduction']",3,morphosyntactic,46,1,0,0,0,r4plus,long,0,fam=morphosyntactic | rules=r4plus | len=long | num=0 | lex=0,fam=morphosyntactic | rules=r4plus | len=long
13,83_LibroBAC.pdf,"Para responder o contribuir a subsanar el vacío que ha dejado la educación en las personas, especialmente en lo que tiene que ver con la educación financiera, es que se ha presentado la iniciativa de capacitar en tal sentido y para ayudar en tal propósito es que se ha construido a la vez este Libro Maestro el cual proporcionará como fuente, la estructura básica de dicha capacitación y los contenidos también básicos para la misma.","Se ha presentado la iniciativa de capacitar a las personas sobre educación financiera para responder o subsanar el vacío que ha dejado el sistema educativo. Asimismo, este Libro Maestro se ha elaborado para ayudar en tal propósito y proporcionar la estructura básica y los contenidos básicos para la capacitación.",Fiorella,19.0,15.0,6.0,4.0,5.0,,,,,0,"[19, 15, 6, 4, 5]",5,19.0,Sentence Order,"['structural', 'lexical', 'reduction']",3,structural,75,1,0,0,0,r4plus,long,0,fam=structural | rules=r4plus | len=long | num=0 | lex=0,fam=structural | rules=r4plus | len=long
15,557_LibroBAC.pdf,"En este sentido, se plantea la importancia de desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres favorables al logro de una libertad, independencia y cultura financiera, en el contexto del desarrollo económico y social del país.","En este sentido, es importante desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres favorables para lograr libertad, independencia y cultura financiera en el desarrollo económico y social del país.",Fiorella,6.0,5.0,,,,,,,,0,"[6, 5]",2,6.0,Complex Phrases,"['lexical', 'reduction']",2,lexical,36,1,0,0,0,r2,long,0,fam=lexical | rules=r2 | len=long | num=0 | lex=0,fam=lexical | rules=r2 | len=long
18,566_LibroBAC.pdf,"En Estados Unidos (2000) una encuesta revela que menos del 60% de los estudiantes de secundaria encuestados, contestaron correctamente pruebas destinadas a medir la habilidad del estudiante para escoger y manejar una tarjeta de crédito, conocimientos sobre el ahorro y la inversión para el retiro, la conciencia sobre el riesgo y la importancia de asegurarse contra el mismo.","Se realizó una encuesta en Estados Unidos, durante el año dos mil, a estudiantes de secundaria para medir su habilidad al escoger y manejar una tarjeta de crédito, sus conocimientos sobre el ahorro y la inversión para el retiro y su conciencia sobre la importancia de asegurarse. Esta encuesta revela que menos del sesenta por ciento de los estudiantes encuestados contestaron correctamente las preguntas.",Fiorella,15.0,14.0,19.0,5.0,,,,,,0,"[15, 14, 19, 5]",4,15.0,Sentence Length,"['structural', 'reduction']",2,structural,58,1,1,0,1,r4plus,long,0,fam=structural | rules=r4plus | len=long | num=1 | lex=0,fam=structural | rules=r4plus | len=long
30,590_LibroBAC.pdf,"Estudios demuestran que: Seminarios sobre planes de retiro ofrecidos en el trabajo incrementan la participación en planes voluntarios de retiro entre un 6 y 12%, así como aumentan la cuota de contribución a estos planes.","Estudios demuestran que los seminarios ofrecidos en el trabajo sobre planes de retiro incrementan la participación en planes voluntarios de retiro entre un seis y un doce por ciento. También, aumentan la cuota de contribución a estos planes.",Fiorella,21.0,14.0,19.0,,,,,,,0,"[21, 14, 19]",3,21.0,Use of Complex Punctuation Marks,['structural'],1,structural,35,1,1,0,1,r3,long,0,fam=structural | rules=r3 | len=long | num=1 | lex=0,fam=structural | rules=r3 | len=long
32,843_LibroBAC.pdf,No hace referencia únicamente a una edad específica en la cual la mayoría de las personas se pensionan como en el caso de las estrategias pensionales.,"No hace referencia únicamente a una edad específica en la que la mayoría de las personas se pensionan, como en las estrategias pensionales.",Fiorella,9.0,5.0,,,,,,,,0,"[9, 5]",2,9.0,Subordinating Conjunctions,"['morphosyntactic', 'reduction']",2,morphosyntactic,26,1,0,0,0,r2,long,0,fam=morphosyntactic | rules=r2 | len=long | num=0 | lex=0,fam=morphosyntactic | rules=r2 | len=long
33,844_LibroBAC.pdf,El plan de acción de libertad financiera es diferente para cada persona ya que se implementa a partir de la situación actual de cada cual y de acuerdo al objetivo que cada quien tiene en cuanto al monto requerido de ingresos residuales en un momento de tiempo que cada individuo define.,El plan de acción de libertad financiera es diferente para cada persona. Este se implementa según el contexto de cada quien y el objetivo que plantee de acuerdo al monto requerido de ingresos residuales en un momento definido.,Fiorella,5.0,6.0,15.0,,,,,,,0,"[5, 6, 15]",3,5.0,Unnecessary Words,"['reduction', 'lexical', 'structural']",3,reduction,51,1,0,0,0,r3,long,0,fam=reduction | rules=r3 | len=long | num=0 | lex=0,fam=reduction | rules=r3 | len=long
44,2055_LibroBAC.pdf,"Como los cambios de la economía global son el resultado de las decisiones de millones de personas, es imposible comprender los fenómenos macroeconómicos sin examinar las decisiones microeconómicas correspondientes.","Los cambios de la economía global son el resultado de las decisiones de millones de personas. Es decir, es imposible comprender los fenómenos macroeconómicos sin examinar las decisiones microeconómicas correspondientes.",Fiorella,7.0,15.0,99.0,,,,,,,0,"[7, 15, 99]",3,7.0,Use of Nominalizations,"['morphosyntactic', 'structural', 'unknown']",3,morphosyntactic,29,1,0,0,0,r3,long,0,fam=morphosyntactic | rules=r3 | len=long | num=0 | lex=0,fam=morphosyntactic | rules=r3 | len=long
46,2057_LibroBAC.pdf,"Pero el mercado no siempre se comporta de acuerdo con este ideal perfecto; en las economías de mercado hay monopolios (una única empresa ofrece una mercancía o servicio), contaminación, desempleo e inflación (aumento anual porcentual del nivel general de precios), y la distribución de la renta de las sociedades a veces se considera poco equitativa.","Pero el mercado no siempre se comporta de acuerdo a este ideal perfecto. Las economías de mercado tienen monopolios (una única empresa ofrece una mercancía o servicio), contaminación, desempleo e inflación (aumento anual porcentual del nivel general de precios). Además, a veces se considera la distribución de la renta como poco equitativa.",Fiorella,15.0,21.0,7.0,5.0,19.0,,,,,0,"[15, 21, 7, 5, 19]",5,15.0,Sentence Length,"['structural', 'morphosyntactic', 'reduction']",3,structural,55,1,0,0,0,r4plus,long,0,fam=structural | rules=r4plus | len=long | num=0 | lex=0,fam=structural | rules=r4plus | len=long
