texto_eval_id,source_text,reference_or_base_text,generated_text,score_fidelidad,score_comprension,score_fluidez,score_lexico,score_tono,score_estructura,score_numeros,puntaje_final_excel,block_index,system_name,position_in_system,system_family,sample36_id,aplico_regla_cero,score_cualitativo_1_5_sin_regla_cero,score_cualitativo_1_5,score_cualitativo_100
1,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,Sin motivación y sin incentivos no se puede trabajar bien en un ambiente competitivo.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,1,prompting,1,False,5.0,5.0,100.0
2,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En la importación y exportación, también participan instituciones gubernamentales y bancos, como se muestra a continuación.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,2,prompting,2,False,5.0,5.0,100.0
3,"El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad ocurre cuando su información personal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad es cuando alguien utiliza tu información personal, como tu nombre y números de cuenta o cédula de identidad, sin tu permiso para hacer trucos malintencionados.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,3,prompting,3,False,5.0,5.0,100.0
4,"Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.",Los sueños de los niños son variados y van desde Tarzán hasta el Agente 007 y Superman.,"Los niños soñan con cosas como ser Tarzán, el Agente 007 o Superman.",5.0,3.0,5.0,1.0,5.0,5.0,5.0,4.1,0,few-shot_hariel_llama3_llama3_cfg_3_R1,4,prompting,4,False,4.1,4.1,82.0
5,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a delitos vinculados a comprar la voluntad de alguien para provecho personal.,"Expresiones como ""soborno"" y ""cohecho"" se refieren a actos ilegales que involucran comprar el apoyo o consentimiento de alguien para beneficio propio.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,5,prompting,5,False,5.0,5.0,100.0
6,"DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""",DIRECCIÓN DE PRESUPUESTO: formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto es responsable de crear y supervisar los presupuestos del país.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,6,prompting,6,False,5.0,5.0,100.0
7,"Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje aplicado a un préstamo o inversión realizada.,"El interés compuesto es la suma del capital y el interés acumulado, que crece según el tiempo convenido. La tasa de interés es el porcentaje aplicado a un préstamo o inversión.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,7,prompting,7,False,5.0,5.0,100.0
8,La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.,A través de los factores de producción se realiza la producción en un país. Más adelante nos ocuparemos en detalle de estos factores.,"La producción en un país se hace utilizando factores como capital, trabajo y recursos naturales.",5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.3,0,few-shot_hariel_llama3_llama3_cfg_3_R1,8,prompting,8,False,4.3,4.3,86.0
9,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Aunque algunas personas critican al intermediario, este individuo es necesario en la economía.","Aunque algunos lo critiquen, el intermediario es necesario en la economía.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,9,prompting,9,False,5.0,5.0,100.0
10,El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a las utilidades también es un buen método para conocer el monto de las rentas y de la riqueza nacional.,El impuesto sobre los intereses es una forma efectiva de medir el valor de las rentas y la riqueza del país.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,few-shot_hariel_llama3_llama3_cfg_3_R1,10,prompting,10,False,5.0,5.0,100.0
