Texto,Semántica  (5|3|1),Claridad  (5|3|1),Fluidez y corrección  (5|3|1),Léxico y sintaxis (5|3|1),Adecuación al público / tono (5|3|1),Estructura y presentación (5|3|1),Manejo de números y datos (5|3|1),Puntaje Final,Aplico regla cero,system_id,system_name,system_family
1,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_1,PROMPTING_SISTEMA_1,prompting
2,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_1,PROMPTING_SISTEMA_1,prompting
3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
4,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.3,False,prompt_1,PROMPTING_SISTEMA_1,prompting
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
8,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.65,False,prompt_1,PROMPTING_SISTEMA_1,prompting
9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
10,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_1,PROMPTING_SISTEMA_1,prompting
11,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_1,PROMPTING_SISTEMA_1,prompting
12,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_1,PROMPTING_SISTEMA_1,prompting
13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
14,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.85,False,prompt_1,PROMPTING_SISTEMA_1,prompting
15,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,prompt_1,PROMPTING_SISTEMA_1,prompting
16,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.6,False,prompt_1,PROMPTING_SISTEMA_1,prompting
17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
18,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.45,False,prompt_1,PROMPTING_SISTEMA_1,prompting
19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
21,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.8500000000000005,False,prompt_1,PROMPTING_SISTEMA_1,prompting
22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
23,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.4499999999999997,False,prompt_1,PROMPTING_SISTEMA_1,prompting
24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
25,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
26,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
27,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.25,False,prompt_1,PROMPTING_SISTEMA_1,prompting
28,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,False,prompt_1,PROMPTING_SISTEMA_1,prompting
