sample_id,idFinal,grupo,motivo,model_key,prompt_type,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,source_text,reference_text,generated_text,sari,bertscore_f1,rougeL_f,compression_ratio_eval,exact_copy
2088,1872_LibroBAC.pdf,A_cortos,"Muy corto, sustitución léxica clara.",llama3,zero-shot,R0,0.2,0.85,1.1,256.0,La comunidad humana más antigua ha sido denominada horda primitiva.,La comunidad humana más antigua se llamó tribu.,La comunidad humana más antigua se llama horda primitiva.,67.76094276094277,0.9127476811408997,0.7368421052631577,0.9,0
2976,881_LibroNEFE_Sincopyright.pdf,A_cortos,Corto con dinero/cantidad.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Prueba a poner en un sobre o frasco $1 por día, más las monedas del cambio.",Pon en un sobre un dólar diario más las monedas del vuelto.,Pon $1 al día y también mete el cambio en un sobre o frasco.,36.6725260690778,0.7574453353881836,0.26666666666666666,0.875,0
3430,2692_LibroUide_Sincopyright.pdf,A_cortos,Frase conceptual simple de negocios.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,Uno de los problemas más importantes en los negocios es la asignación de precios a los productos.,Asignar precios a los productos es un problema importante en las empresas.,Un problema importante en los negocios es determinar el precio justo para cada producto.,42.05357142857142,0.8484818935394287,0.30769230769230765,0.8235294117647058,0
3679,829_LibroUAC_Sincopyright.pdf,A_cortos,Corto con número e IVA.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"El resultado será 190, o sea, el IVA del kilo de pan es de $190.","El resultado será ciento noventa. Es decir, el impuesto al valor agregado del kilo de pan son ciento noventa pesos.",El precio del kilo de pan incluye un impuesto de $190.,47.09919231470956,0.7594677805900574,0.3225806451612903,0.7333333333333333,0
3145,1045_LibroUide_Sincopyright.pdf,A_cortos,Corto con proporción financiera.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Por cada $100 facturados, la compañía gasta $2.20 en intereses.",La empresa gasta dos dólares con veinte centavos por cada cien dólares facturados.,La empresa paga $2.20 por cada $100 que vende.,37.90461000987316,0.775162398815155,0.32,0.9090909090909091,0
507,562_LibroUAC_Sincopyright.pdf,B_medianos,Porcentajes y rentabilidad.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"En general, se dice que la rentabilidad normal de una inversión en países desarrollados fluctúa, en promedio, entre el 6 % y el 8 % anual.","Generalmente, la rentabilidad normal de una inversión en países desarrollados varía entre el seis por ciento y el ocho por ciento anual.",La rentabilidad normal de una inversión en países desarrollados es del 6% al 8% anual.,56.35642353115122,0.8841844201087952,0.5714285714285713,0.625,0
1756,5100_LibroBAC.pdf,B_medianos,Redacción abstracta/institucional.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,En virtud de estas y otras reflexiones fue que se diseñó este capítulo en el marco del Libro Maestro de la cual forma parte sustantiva.,Debido a estas y otras reflexiones se diseñó este capítulo que forma parte fundamental del presente libro maestro de educación financiera.,Este capítulo fue creado como resultado de estas ideas y otras similares.,34.893865654269575,0.7571723461151123,0.2222222222222222,0.48,0
3093,875_LibroUide_Sincopyright.pdf,B_medianos,Definición contable.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Las cuentas de activo reflejan aquello que posee la organización, independientemente de cómo se haya financiado.",Las cuentas de activo evidencian las pertenencias de la empresa. No importa cómo se financiaron.,"La cuenta de activo muestra lo que una empresa tiene, sin importar cómo lo pagó.",38.781130268199234,0.8242924213409424,0.3125,0.9375,0
3192,1202_LibroUide_Sincopyright.pdf,B_medianos,"Relación de pasivo/activo, útil para precisión.",llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Por cada dólar de pasivo corriente, la compañía cuenta con 93 centavos de dólar en activos corrientes súper líquidos.",La empresa tiene noventa y tres centavos de dólar en activos corrientes súper líquidos por dólar de pasivo corriente.,"Para cada dólar de deudas que debe pagar pronto, la empresa tiene 93 centavos disponibles para usar inmediatamente.",28.435722307108986,0.7559871077537537,0.1904761904761905,0.9473684210526315,0
3525,230_LibroUAC_Sincopyright.pdf,B_medianos,Dato económico con cifra.,llama3,zero-shot,R0,0.2,0.85,1.1,256.0,"Posee la renta per cápita más alta de Latinoamérica, con alrededor de US$25.000 por habitante (según datos de 2019).",Tiene la renta per cápita más alta de Latinoamérica. Con casi veinticinco mil dólares estadounidenses por habitante.,"La renta per cápita en este país es la más alta de Latinoamérica, con unos $25.000 por persona (datos de 2019).",39.84734045430141,0.7951331734657288,0.5531914893617021,1.0476190476190477,0
