sample36_id,texto_eval_id,base_system_name,refined_system_name,source_text,reference_text,generated_text_base,generated_text_refined,self_refine_model_key,self_refine_model_runtime,self_refine_prompt,status,error_message,inference_seconds
1,37,lora_llama3,lora_llama3_self_refine_llama3,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.",No tiene sentido ni motivación. Estos elementos son esenciales para la competencia.,"No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.","No tiene motivación ni incentivos, dos elementos clave en ambientes competitivos.",llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.

Simplificación actual:
No tiene incentivos ni motivación, dos elementos esenciales en ambientes de competencia.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,2.207616090774536
2,38,lora_llama3,lora_llama3_self_refine_llama3,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:",Clientes y proveedores intervienen en las importancias y exportaciones. También lo hacen las instituciones estatales y los banco como se indica a continuación:,"En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, como se indica en el siguiente recuadro:","En los procesos de importaciones y exportaciones intervienen clientes, proveedores, instituciones del Estado y bancos, como se indica en el siguiente recuadro.",llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, tal como se indica en el siguiente recuadro:

Simplificación actual:
En los procesos de importaciones y exportaciones intervienen, además de clientes y proveedores, instituciones del Estado y los bancos, como se indica en el siguiente recuadro:

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,5.031726598739624
3,39,lora_llama3,lora_llama3_self_refine_llama3,"El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.","El robo de identidad ocurre cuando su información personal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.",El robo de identidad ocurre cuando su información personal se usa sin su conocimiento para cometer un fraude o robo.,El robo de identidad ocurre cuando se usa su información personal sin su conocimiento para cometer un fraude o robo.,llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
El robo de identidad ocurre cuando su información personal, tal como su nombre, número de cuenta, o número de cédula de identidad se usan sin su conocimiento para cometer un fraude o robo.

Simplificación actual:
El robo de identidad ocurre cuando su información personal se usa sin su conocimiento para cometer un fraude o robo.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,4.0502777099609375
4,40,lora_llama3,lora_llama3_self_refine_llama3,"Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.",Los sueños de los niños son variados y van desde Tarzán hasta el Agente 007 y Superman.,Los sueños de los niños tienen una gran variedad.,"Los sueños de los niños son muy variados, desde Tarzán hasta Superman.",llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
Los sueños de los niños tienen una gran variedad que va desde Tarzán hasta el Agente 007, pasando por Superman.

Simplificación actual:
Los sueños de los niños tienen una gran variedad.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,2.276993751525879
5,41,lora_llama3,lora_llama3_self_refine_llama3,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a delitos vinculados a comprar la voluntad de alguien para provecho personal.,Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.,Expresiones como soborno y cohecho se refieren a actos ilícitos que involucran comprar la voluntad de alguien para beneficio personal.,llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.

Simplificación actual:
Expresiones como soborno y cohecho se refieren a ilícitos vinculados a la compra de la voluntad de un individuo para provecho personal.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,4.2305991649627686
6,42,lora_llama3,lora_llama3_self_refine_llama3,"DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""",DIRECCIÓN DE PRESUPUESTO: formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto formula y lleva el control presupuestario de la nación.,La Dirección de Presupuesto formula y controla el presupuesto nacional.,llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
DIRECCIÓN DE PRESUPUESTO (DIPRES): ""formula y lleva el control presupuestario de la nación.""

Simplificación actual:
La Dirección de Presupuesto formula y lleva el control presupuestario de la nación.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,2.368140697479248
7,43,lora_llama3,lora_llama3_self_refine_llama3,"Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.",El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje aplicado a un préstamo o inversión realizada.,El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.,El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión.,llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
Interés compuesto: Es la suma del capital y el interés acumulado, que se va multiplicando según los plazos convenidos. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.

Simplificación actual:
El interés compuesto es la suma del capital y el interés acumulado. La tasa de interés es el porcentaje que se aplica a un préstamo o inversión realizada.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,4.696922302246094
8,44,lora_llama3,lora_llama3_self_refine_llama3,La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.,A través de los factores de producción se realiza la producción en un país. Más adelante nos ocuparemos en detalle de estos factores.,La producción en un país se realiza mediante los factores de producción. Estos se ocuparán en detalle más adelante.,La producción en un país se hace con los factores de producción. Se hablará más sobre ellos después.,llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
La producción en un país se realiza mediante lo que se conoce como factores de producción y de los cuales nos ocuparemos en detalle más adelante.

Simplificación actual:
La producción en un país se realiza mediante los factores de producción. Estos se ocuparán en detalle más adelante.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,2.7113258838653564
9,45,lora_llama3,lora_llama3_self_refine_llama3,"A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.","Aunque algunas personas critican al intermediario, este individuo es necesario en la economía.","Algunos critican al intermediario, pero se necesita a este individuo en la economía.","Algunos critican al intermediario, pero es necesario para la economía.",llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
A pesar de que algunos critican al intermediario, se necesita a este individuo en la economía.

Simplificación actual:
Algunos critican al intermediario, pero se necesita a este individuo en la economía.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,2.3303041458129883
10,46,lora_llama3,lora_llama3_self_refine_llama3,El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a las utilidades también es un buen método para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a los réditos es un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.,El impuesto a los réditos es un buen instrumento para conocer la cantidad de rentas y riqueza nacional.,llama3,llama3:8b,"Eres un editor de textos en español especializado en simplificación de textos formales.

Tu tarea es mejorar una simplificación ya generada. No debes rehacerla desde cero.

Texto original:
El impuesto a los réditos es también un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.

Simplificación actual:
El impuesto a los réditos es un buen instrumento para conocer el monto de las rentas y de la riqueza nacional.

Instrucciones obligatorias:
1. Responde únicamente en español.
2. Devuelve solo el texto refinado.
3. No escribas notas, explicaciones, comentarios ni justificaciones.
4. No uses frases como ""Note:"", ""Nota:"", ""He cambiado"", ""No hice cambios"", ""Ningún cambio significativo"" o similares.
5. Conserva el significado del texto original.
6. No inventes información.
7. No elimines datos importantes.
8. Si la simplificación actual ya es clara y fiel, devuelve una versión limpia muy parecida, sin explicar nada.
9. Si la simplificación actual es casi igual al texto original, reescríbela con palabras más simples.
10. Sustituye palabras formales o técnicas por palabras más comunes cuando sea posible.
11. Usa oraciones cortas.
12. Usa viñetas solo si el texto contiene listas, pasos, causas, consecuencias o varias ideas separadas.
13. Conserva números, fechas, nombres propios y cantidades.
14. No agregues información que no esté en el texto original.

Texto refinado:",ok,,3.1540286540985107
